Event,Date,city,regid
Measurement and Tools Training Course,28/11/2018,Amman,jo.neutelecom
Measurements and Tools Training Course,09/03/2017,Nicosia,cy.francoudi
Measurements and Tools Training Course,21/03/2017,Ljubljana,si.telinea
Measurements and Tools Training Course,27/04/2017,Sheffield,uk.exponential-e
Measurements and Tools Training Course,07/05/2017,Budapest,sk.filleck
Measurements and Tools Training Course,11/07/2017,Almaty,kz.gsm-kazakhstan
Measurements and Tools Training Course,11/08/2017,Frankfurt,de.da-rz
Measurements and Tools Training Course,31/08/2017,Amsterdam,nl.leaseweb
Measurements and Tools Training Course,08/09/2017,Lisbon,pt.nos
Measurements and Tools Training Course,11/10/2017,Minsk,by.ntec
Measurements and Tools Training Course,19/01/2018,Geneva,ch.archimede
Measurements and Tools Training Course,29/01/2018,Lviv,ua.itconsulting
Measurements and Tools Training Course,09/02/2018,Tallinn,lv.telenet
Measurements and Tools Training Course,13/04/2018,Riga,lv.latvenergo
Measurements and Tools Training Course,18/04/2018,Luxembourg,de.facitconsulting
Measurements and Tools Training Course,24/04/2018,Tehran,eu.zz
Measurements and Tools Training Course,13/05/2018,Marseilles,fr.ajova
Measurements and Tools Training Course,17/07/2018,Prague,cz.ulti-tech
Measurements and Tools Training Course,21/08/2018,Kiev,ua.miit
Measurements and Tools Training Course,30/08/2018,Paris,fr.blade
Measurements and Tools Training Course,21/11/2018,Belgrade,rs.telekom
Measurements and Tools Training Course,06/12/2018,Turin,it.emr
Measurements and Tools Training Course,25/01/2019,Athens,gr.lancom
Measurements and Tools Training Course,12/02/2019,Skopje,bg.itd
Measurements and Tools Training Course,15/02/2019,Hamburg,de.nycro
Measurements and Tools Training Course,20/02/2019,Mashhad,ir.dcc
Measurements and Tools Training Course,13/03/2019,Copenhagen,iq.najim
Measurements and Tools Training Course,02/04/2019,Beirut,lb.wise
Measurements and Tools Training Course,24/04/2019,Kuwait,kw.wataniya
Measurements and Tools Training Course,05/06/2019,Dublin,ie.isi
Measurements and Tools Training Course,05/06/2019,Tbilisi,ge.adjarabet
Measurements and Tools Training Course,14/06/2019,Bishkek,kg.megaline
Measurements and Tools Training Course,19/06/2019,Bratislava,sk.pan-net
Measurements and Tools Training Course,03/07/2019,Ankara,tr.wifitelekom
Measurements and Tools Training Course,19/07/2019,Vilnius,lt.rackray
Measurements and Tools Training Course,15/08/2019,Amsterdam,nl.e-quest
Measurements and Tools Training Course,15/08/2019,Amsterdam,uk.telefonica-wifi
Measurements and Tools Training Course,18/09/2019,Riyadh,eu.zz
Measurements and Tools Training Course,01/10/2019,Helsinki,fi.nokiantyres
Measurements and Tools Training Course,06/11/2019,Manamah,bh.vivabh
Measurements and Tools Training Course,29/11/2019,Barcelona,de.stellar
Measurements Tools Training Course,24/11/2016,Belgrade,ba.sarnet
Measurements Tools Workshop,19/09/2014,Amsterdam,eu.zz
Measurements Tools Workshop,17/06/2016,Vienna,at.aconet
Measurments and Tools Training Course,08/12/2017,Lyon,fr.ipline
RIPE 84,20/May/22,Berlin,
RIPE 83,26/Nov/21,Virtual,
RIPE 82,21/May/21,Virtual,
RIPE 81,30/Oct/20,Virtual,
RIPE 80,14/May/20,Virtual,
RIPE 79,18/Oct/19,Rotterdam,
RIPE 78,24/May/19,Reykjavik,
RIPE 77,19/Oct/18,Amsterdam,
RIPE 76,18/May/18,Marseille,
RIPE 75,26/Oct/17,Dubai,
RIPE 74,12/May/17,Budapest,
RIPE 73,28/Oct/16,Madrid,
RIPE 72,27/May/16,Copenhagen,
RIPE 71,20/Nov/15,Bucharest,
RIPE 70,15/May/15,Amsterdam,
RIPE 69,07/Nov/14,London,
RIPE 68,16/May/14,Warsaw,
RIPE 67,18/Oct/13,Athens,
RIPE 66,17/May/13,Dublin,
RIPE 65,28/Sep/12,Amsterdam,
RIPE 64,20/Apr/12,Ljubljana,
RIPE 63,04/Nov/11,Vienna,
RIPE 62,06/May/11,Amsterdam,
RIPE 61,19/Nov/10,Rome,
RIPE 60,07/May/10,Prague,
RIPE 59,09/Oct/09,Lisbon,
RIPE 58,08/May/09,Amsterdam,
Hackathon RIPE Atlas tools,8 Nov 2015,Amsterdam,
Hackathon RIPE Atlas interface,12 May 2016,Copenhagen,
Dataviz Hackathon,31 March 2015,Amsterdam,
Measurements & Tools Training Course,07/07/2020,Blank/online?,
Measurements & Tools Training Course,14/07/2020,Blank/online?,
Measurements & Tools Training Course,17/01/2020,London,
Measurements & Tools Training Course,11/03/2020,Stockholm,
Measurements and Tools Training Course,21/04/2020,Online,
RIPE Atlas,02/06/2020,Blank/online?,
RIPE Atlas,17/09/2020,Blank/online?,
RIPE Atlas,04/11/2020,Blank/online?,
RIPE Atlas Usage,12/03/2020,Blank/online?,
RIPE Atlas Usage,03/06/2020,Blank/online?,
RIPE Atlas Usage,05/10/2020,Blank/online?,
Using RIPE Atlas,11/02/2021,Blank/online?,
Using RIPE Atlas,25/08/2021,Blank/online?,
Using RIPE Atlas,23/09/2021,Blank/online?,